tranportation,city,postcode,housenumber,street,state,address1,address2
Madison Les Hotel,New York,10002,154,Madison Street,New York,Madison Les Hotel,"154 Madison Street, New York, NY 10002, United States of America"
Hampton,New York,10004,32,Pearl Street,New York,Hampton,"32 Pearl Street, New York, NY 10004, United States of America"
Sohotel,New York,10013,341,Broome Street,New York,Sohotel,"341 Broome Street, New York, NY 10013, United States of America"
Hampton Inn Manhattan-SoHo,New York,10005,N/A,Watts Street,New York,Hampton Inn Manhattan-SoHo,"Watts Street, New York, NY 10005, United States of America"
49 Crosby,New York,10012,49,Crosby Street,New York,49 Crosby Street,"New York, NY 10012, United States of America"
Sixty SoHo,New York,10012,60,Thompson Street,New York,Sixty SoHo,"60 Thompson Street, New York, NY 10012, United States of America"
Nolitan hotel,New York,10012,30,Kenmare Street,New York,Nolitan hotel,"30 Kenmare Street, New York, NY 10012, United States of America"
Wagner Hotel,New York,10004,10,Little West Street,New York,Wagner Hotel,"10 Little West Street, New York, NY 10004, United States of America"
Arlo Soho,New York,10013,231,Hudson Street,New York,Arlo Soho,"231 Hudson Street, New York, NY 10013, United States of America"
citizenM New York Bowery,New York,10002,189,Bowery,New York,citizenM New York Bowery,"189 Bowery, New York, NY 10002, United States of America"
The Dominick,New York,10005,N/A,Dominick Street,New York,The Dominick,"Dominick Street, New York, NY 10005, United States of America"
The Allen Hotel,New York,10002,88,Allen Street,New York,The Allen Hotel,"88 Allen Street, New York, NY 10002, United States of America"
1 Hotel Brooklyn Bridge,New York,11201,N/A,Furman Street,New York,1 Hotel Brooklyn Bridge,"Furman Street, New York, NY 11201, United States of America"
The Bowery House,New York,10012,220,Bowery,New York,The Bowery House,"220 Bowery, New York, NY 10012, United States of America"
Mercer Hotel,New York,10012,147,Mercer Street,New York,Mercer Hotel,"147 Mercer Street, New York, NY 10012, United States of America"
N/A,New York,10013,525,Greenwich Street,New York,525 Greenwich Street,"New York, NY 10013, United States of America"
N/A,New York,10002,241,Bowery,New York,241 Bowery,"New York, NY 10002, United States of America"
Sago Hotel,New York,10002,120,Allen Street,New York,Sago Hotel,"120 Allen Street, New York, NY 10002, United States of America"
Four Points by Sheraton,New York,10014,66,Charlton Street,New York,Four Points by Sheraton,"66 Charlton Street, New York, NY 10014, United States of America"
"PUBLIC, an Ian Schrager hotel",New York,10002,215,Chrystie Street,New York,"PUBLIC, an Ian Schrager hotel","215 Chrystie Street, New York, NY 10002, United States of America"
Courtyard,New York,10014,181,Varick Street,New York,Courtyard,"181 Varick Street, New York, NY 10014, United States of America"
Orchard Street Hotel,New York,10002,163,Orchard Street,New York,Orchard Street Hotel,"163 Orchard Street, New York, NY 10002, United States of America"
The Redford Hotel,New York,10002,136,Ludlow Street,New York,The Redford Hotel,"136 Ludlow Street, New York, NY 10002, United States of America"
Holiday Inn,New York,10002,150,Delancey Street,New York,Holiday Inn,"150 Delancey Street, New York, NY 10002, United States of America"
The GEM Hotel Soho,New York,10002,135,East Houston Street,New York,The GEM Hotel Soho,"135 East Houston Street, New York, NY 10002, United States of America"
The Ludlow Hotel,New York,10002,N/A,Ludlow Street,New York,The Ludlow Hotel,"Ludlow Street, New York, NY 10002, United States of America"
The Bowery Hotel,New York,10003,335,Bowery,New York,The Bowery Hotel,"335 Bowery, New York, NY 10003, United States of America"
"The Standard, East Village",New York,10003,25,Cooper Square,New York,"The Standard, East Village","25 Cooper Square, New York, NY 10003, United States of America"
Hyatt Regency Jersey City on the Hudson,Jersey City,07032,2,Exchange Place,New Jersey,Hyatt Regency Jersey City on the Hudson,"2 Exchange Place, Jersey City, NJ 07032, United States of America"
Washington Square Hotel,New York,10011,103,Waverly Place,New York,Washington Square Hotel,"103 Waverly Place, New York, NY 10011, United States of America"
St. Mark's Hotel,New York,10003,2,Saint Mark's Place,New York,St. Mark's Hotel,"2 Saint Mark's Place, New York, NY 10003, United States of America"
N/A,New York,10011,5,West 8th Street,New York,5 West 8th Street,"New York, NY 10011, United States of America"
Hyatt House New Jersey,Jersey City,07302,1,Exchange Place,New Jersey,Hyatt House New Jersey,"1 Exchange Place, Jersey City, NJ 07302, United States of America"
East Village Hotel,New York,10003,147,1st Avenue,New York,East Village Hotel,"147 1st Avenue, New York, NY 10003, United States of America"
Sonesta Simply Suites Jersey City,Jersey City,07302,21,2nd Street,New Jersey,Sonesta Simply Suites Jersey City,"21 2nd Street, Jersey City, NJ 07302, United States of America"
The Tillary Hotel,New York,11201,85,Flatbush Avenue Extension,New York,The Tillary Hotel,"85 Flatbush Avenue Extension, New York, NY 11201, United States of America"
New York Marriott at the Brooklyn Bridge,New York,11201,N/A,Adams Street,New York,New York Marriott at the Brooklyn Bridge,"Adams Street, New York, NY 11201, United States of America"
Hyatt Union Square New York,New York,10003,134,4th Avenue,New York,Hyatt Union Square New York,"134 4th Avenue, New York, NY 10003, United States of America"
Hampton,New York,11201,N/A,Flatbush Avenue Extension,New York,Hampton,"Flatbush Avenue Extension, New York, NY 11201, United States of America"
Walker Hotel,New York,10011,52,West 13th Street,New York,Walker Hotel,"52 West 13th Street, New York, NY 10011, United States of America"
Union Square Inn,New York,10003,209,East 14th Street,New York,Union Square Inn,"209 East 14th Street, New York, NY 10003, United States of America"
The Jane,New York,10014,113,Jane Street,New York,The Jane,"113 Jane Street, New York, NY 10014, United States of America"
DoubleTree,Jersey City,07311,N/A,Washington Boulevard,New Jersey,DoubleTree,"Washington Boulevard, Jersey City, NJ 07311, United States of America"
Courtyard Jersey City Newport,Jersey City,07310,540,Washington Boulevard,New Jersey,Courtyard Jersey City Newport,"540 Washington Boulevard, Jersey City, NJ 07310, United States of America"
The Westin Jersey City Newport,Jersey City,07310,479,Washington Boulevard,New Jersey,The Westin Jersey City Newport,"479 Washington Boulevard, Jersey City, NJ 07310, United States of America"
Aloft - W Hotel,New York,11201,216,Duffield Street,New York,Aloft - W Hotel,"216 Duffield Street, New York, NY 11201, United States of America"
Sheraton Brooklyn,New York,11201,228,Duffield Street,New York,Sheraton Brooklyn,"228 Duffield Street, New York, NY 11201, United States of America"
Hotel Gansevoort,New York,10014,18,9th Avenue,New York,Hotel Gansevoort,"18 9th Avenue, New York, NY 10014, United States of America"
Canopy by Hilton,Jersey City,07302,N/A,Morgan Street,New Jersey,Canopy by Hilton,"Morgan Street, Jersey City, NJ 07302, United States of America"
Hilton,New York,11201,140,Schermerhorn Street,New York,Hilton,"140 Schermerhorn Street, New York, NY 11201, United States of America"
Residence Inn Jersey City,Jersey City,07302,80,Christopher Columbus Drive,New Jersey,Residence Inn Jersey City,"80 Christopher Columbus Drive, Jersey City, NJ 07302, United States of America"
W Hotels,New York,10003,201,Park Avenue South,New York,W Hotels,"201 Park Avenue South, New York, NY 10003, United States of America"
Hotel Indigo,New York,11201,229,Duffield Street,New York,Hotel Indigo,"229 Duffield Street, New York, NY 11201, United States of America"
Chelsa Inn Hotel,New York,10011,46,West 17th Street,New York,Chelsa Inn Hotel,"46 West 17th Street, New York, NY 10011, United States of America"
Nu Hotel,New York,11201,85,Smith Street,New York,Nu Hotel,"85 Smith Street, New York, NY 11201, United States of America"
The Inn at Irving Place,New York,10003,56,Irving Place,New York,The Inn at Irving Place,"56 Irving Place, New York, NY 10003, United States of America"
Hotel 17,New York,10003,225,East 17th Street,New York,Hotel 17,"225 East 17th Street, New York, NY 10003, United States of America"
Hotel 309,New York,10011,309,14th Street (PATH) underground passage,New York,Hotel 309,"309 14th Street (PATH) underground passage, New York, NY 10011, United States of America"
Chelsea Pines Inn,New York,10011,317,14th Street (PATH) underground passage,New York,Chelsea Pines Inn,"317 14th Street (PATH) underground passage, New York, NY 10011, United States of America"
Soho House New York,New York,10014,N/A,West 13th Street,New York,Soho House New York,"West 13th Street, New York, NY 10014, United States of America"
The Standard,New York,10014,848,Washington Street,New York,The Standard,"848 Washington Street, New York, NY 10014, United States of America"
Liberty Inn,New York,10014,51,10th Avenue,New York,Liberty Inn,"51 10th Avenue, New York, NY 10014, United States of America"
Dream Downtown,New York,10011,355,West 16th Street,New York,Dream Downtown,"355 West 16th Street, New York, NY 10011, United States of America"
Casa Blanca Hotel,New York,11205,143,Park Avenue,New York,Casa Blanca Hotel,"143 Park Avenue, New York, NY 11205, United States of America"
Maritime Hotel,New York,10011,363,West 16th Street,New York,Maritime Hotel,"363 West 16th Street, New York, NY 10011, United States of America"
Gramercy Park Hotel,New York,10010,2,Lexington Avenue,New York,Gramercy Park Hotel,"2 Lexington Avenue, New York, NY 10010, United States of America"
Ace Hotel,New York,11217,252,Schermerhorn Street,New York,Ace Hotel,"252 Schermerhorn Street, New York, NY 11217, United States of America"
Ewards Hotel,Hoboken,07030,N/A,Hudson Street,New Jersey,Ewards Hotel,"Hudson Street, Hoboken, NJ 07030, United States of America"
Holiday Inn Brooklyn Downtown,New York,11217,300,Schermerhorn Street,New York,Holiday Inn Brooklyn Downtown,"300 Schermerhorn Street, New York, NY 11217, United States of America"
Brooklyn Motor Inn,New York,11231,140,Hamilton Avenue,New York,Brooklyn Motor Inn,"140 Hamilton Avenue, New York, NY 11231, United States of America"
The Holland Hotel,Jersey City,07310,175,12th Street,New Jersey,The Holland Hotel,"175 12th Street, Jersey City, NJ 07310, United States of America"
W Hotel,Hoboken,07030,N/A,River Street,New Jersey,W Hotel,"River Street, Hoboken, NJ 07030, United States of America"
Chelsea international hostel,New York,10011,251,West 20th Street,New York,Chelsea international hostel,"251 West 20th Street, New York, NY 10011, United States of America"
"EVEN Hotel Brooklyn, an IHG Hotel",New York,11217,46,Nevins Street,New York,"EVEN Hotel Brooklyn, an IHG Hotel","46 Nevins Street, New York, NY 11217, United States of America"
N/A,Jersey City,07302,N/A,3rd Street,New Jersey,3rd Street,"Jersey City, NJ 07302, United States of America"
New York EDITION,New York,10010,1,Madison Avenue,New York,New York EDITION,"1 Madison Avenue, New York, NY 10010, United States of America"
American Dream Bed & Breakfast,New York,10010,168,East 24th Street,New York,American Dream Bed & Breakfast,"168 East 24th Street, New York, NY 10010, United States of America"
SpringHill Suites,New York,10010,111,East 24th Street,New York,SpringHill Suites,"111 East 24th Street, New York, NY 10010, United States of America"
The Townhouse Inn of Chelsea,New York,10011,131,West 23rd Street,New York,The Townhouse Inn of Chelsea,"131 West 23rd Street, New York, NY 10011, United States of America"
Chelsea Savoy Hotel,New York,10011,204,West 23rd Street,New York,Chelsea Savoy Hotel,"204 West 23rd Street, New York, NY 10011, United States of America"
The Marcel,New York,10010,201,East 24th Street,New York,The Marcel,"201 East 24th Street, New York, NY 10010, United States of America"
