Hotel Name,Distance from NYC
SpringHill Suites by Marriott New York Manhattan/Chelsea,0
Hyatt Grand Central New York,0
Courtyard by Marriott New York Manhattan/Midtown West,0
Courtyard by Marriott New York Queens/Fresh Meadows,11.44
The Marlton Hotel,0
"Holiday Inn Brooklyn Downtown, an IHG Hotel",2.13
Castle Hotel & Spa,25.88
AC Hotel by Marriott New York Downtown,0
Fairfield Inn & Suites by Marriott New York ManhattanChelsea,0
citizenM New York Bowery,0
Ace Hotel New York,0
Wyndham Garden Chinatown,0
Courtyard by Marriott Edgewater NYC Area,6.31
New York LaGuardia Airport Marriott,8.2
SpringHill Suites by Marriott New York JFK Airport/Jamaica,10.04
Hotel Hayden,0
Hyatt Place New York Midtown South,0
The Allen Hotel,0
RIU Plaza Manhattan Times Square,0
Redford Hotel,0
Artezen Hotel,0
The Westin New York at Times Square,0
citizenM New York Times Square,0
Truss Hotel Times Square ,0
Hotel St. James,0
Hilton New York Times Square,0
"Holiday Inn Express - New York City Chelsea, an IHG Hotel",0
OYO Times Square,0
Hilton Garden Inn New York Times Square South,0
6 Columbus Central Park Hotel,0
DoubleTree by Hilton Hotel & Suites Jersey City,1.77
Hilton Garden Inn Long Island City New York,4.45
Warwick New York,0
HYATT house White Plains,25.81
Courtyard New York Manhattan/ Midtown East,0
City Club Hotel,0
Omni Berkshire Place,0
The Iroquois New York,0
The Shoreham Hotel,0
Hampton Inn Manhattan-Chelsea,0
"Hotel 50 Bowery, part of JdV by Hyatt",0
M Social Hotel Times Square New York,0
Park Central Hotel New York,0
SpringHill Suites by Marriott New York Manhattan/Times Square South,0
"InterContinental New York Times Square, an IHG Hotel",0
Residence Inn by Marriott New York Manhattan/Midtown East,0
Aloft New York Brooklyn,1.85
Kixby,0
Peachtree Suites,3.34
Hyatt Centric Times Square New York,0
Renaissance New York Times Square Hotel,0
New York Marriott Downtown,0
Sheraton Lincoln Harbor Hotel,3.3
Fairfield Inn & Suites New York Queens/Fresh Meadows,11.4
TRYP by Wyndham New York City Times Square / Midtown,0
Midtown Convention Center Hotel,0
Residence Inn by Marriott New York Manhattan/Times Square,0
Doubletree by Hilton New York Times Square South,0
"Holiday Inn Manhattan 6th Ave - Chelsea, an IHG Hotel",0
Hyatt House Jersey City,1.48
Learn at Ellis Island Museum! Sophisticated Suite! Parking Available!,1.59
Visit Liberty Science Center! Contemporary Unit! Interactive Exhibits!,1.59
The Sohotel,0
"EVEN Hotel Brooklyn, an IHG Hotel",2.16
"Gild Hall, A Thompson Hotel",0
New York Marriott at the Brooklyn Bridge,1.61
Hilton Garden Inn New York Times Square North,0
The Maritime Hotel,0
The Moore,0
Courtyard by Marriott New York Manhattan/SoHo,0
Residence Inn by Marriott New York Downtown Manhattan/Financial District,0
TownePlace Suites by Marriott New York Manhattan,0
Concorde Hotel New York,0
The Michelangelo Hotel,0
Heritage Hotel,0
SpringHill Suites by Marriott New York Midtown Manhattan,0
EVEN Hotel New York - Times Square South,0
Sheraton Brooklyn New York Hotel,1.85
Fairfield Inn by Marriott New York LaGuardia Airport/Astoria,6.49
Ramada by Wyndham Flushing Queens,9.66
Dylan Hotel NYC,0
Sonder The Dutch,4.58
Best Western Plus Brooklyn Bay Hotel,9.58
"Viana Hotel and Spa, Trademark Collection by Wyndham",23.77
DoubleTree by Hilton Hotel Nanuet,26.15
Hotel On Rivington,0
Moxy Brooklyn Willamsburg,2.26
Iberostar 70 Park Avenue,0
"Hotel Indigo Flushing, an IHG Hotel",9.68
Hampton Inn & Suites Rockville Centre,18.91
Hotel 32 32,0
Walker Hotel Greenwich Village,0
Comfort Inn Prospect Park - Brooklyn,3.44
Homewood Suites New York/Midtown Manhattan Times Square,0
NU Hotel Brooklyn,1.88
Sanctuary Hotel New York,0
SpringHill Suites by Marriott New York Midtown Manhattan/Park Avenue,0
The Marmara Park Avenue,0
Merrion Row Hotel and Public House,0
New York Marriott Marquis,0
"Le Meridien New York, Central Park by Marriott",0
"The MC, Autograph Collection",13.45
The Westin Jersey City Newport,1.77
Hampton Inn Manhattan Grand Central,0
W New York - Times Square,0
Moxy NYC East Village,0
Cambria Hotel New York - Chelsea,0
Citadines Connect Fifth Avenue New York,0
Refinery Hotel,0
Virgin Hotels New York City,0
Arlo NoMad,0
Chelsea Pines Inn,0
Broadway Plaza Hotel,0
Hampton Inn Manhattan/Times Square Central,0
"Crowne Plaza HY36 Midtown Manhattan, an IHG Hotel",0
Sheraton LaGuardia East Hotel,9.68
"Envue, Autograph Collection",4.48
Best Western Premier Empire State Hotel,0
"Staypineapple, An Artful Hotel, Midtown",0
Placemakr Wall Street,0
King Room in Brooklyn,2.61
The Garden City Hotel,19.21
Millennium Premier New York Times Square,0
The Gotham Hotel,0
Best Western Plus Hospitality House,0
Residence Inn by Marriott New York JFK Airport,11.38
Arlo Midtown,0
INNSiDE by Meliá New York Nomad,0
Hampton Inn Brooklyn/Downtown,1.66
Kasa Lantern Lower East Side,0
Courtyard by Marriott Tarrytown Westchester County,25.75
Fairfield Inn & Suites New York Manhattan / Central Park,0
San Carlos Hotel,0
Wingate by Wyndham New York Midtown South/5th Ave,0
AC Hotel by Marriott New York Times Square,0
Fairfield Inn & Suites by Marriott New York Brooklyn,2.51
Fairfield Inn & Suites New York Midtown Manhattan/Penn Station,0
Four Points By Sheraton Manhattan Midtown West,0
Best Western Gregory Hotel,6.21
Washington Square Hotel,0
The Nolitan,0
Hotel Riu Plaza New York Times Square,0
NoMo SoHo,0
Hyatt Union Square New York,0
Courtyard by Marriott New York Manhattan / Central Park,0
Residence Inn New York Manhattan/Central Park,0
Aloft Harlem,0
Hard Rock Hotel New York,0
NobleDEN Hotel,0
Empire Hotel,0
"Marriott Vacation Club Pulse, New York City",0
Arlo SoHo,0
The Standard East Village,0
W New York - Union Square,0
The Kitano Hotel New York,0
Sofitel New York,0
Made Hotel,0
Fairfield Inn & Suites New York Manhattan/Times Square South,0
Hyatt Place New York City/Times Square,0
Hyatt House New York/Chelsea,0
The Hilton Club - New York,0
The Gardens Sonesta ES Suites New York,0
Moxy NYC Times Square,0
"PUBLIC, an Ian Schrager hotel",0
11 Howard,0
"The Beekman, A Thompson Hotel",0
The Belvedere Hotel,0
Roxy Hotel New York,0
Sonder Duane Street,0
